"COUNTRY_ID","COUNTRY_ISOCODE","COUNTRY_SUPPORTED","GEOZONE_ID"
"1","AL","true","NULL"
"2","DZ","true","NULL"
"3","AR","true","NULL"
"4","AU","true","NULL"
"5","AT","true","NULL"
"6","BH","true","NULL"
"7","BY","true","NULL"
"8","BE","true","NULL"
"9","BO","true","NULL"
"10","BA","true","NULL"
"11","BR","true","NULL"
"12","BG","true","NULL"
"13","CA","true","NULL"
"14","CL","true","NULL"
"15","CN","true","NULL"
"16","CO","true","NULL"
"17","CR","true","NULL"
"18","HR","true","NULL"
"19","CU","true","NULL"
"20","CY","true","NULL"
"21","CZ","true","NULL"
"22","DK","true","NULL"
"23","DO","true","NULL"
"24","EC","true","NULL"
"25","EG","true","NULL"
"26","SV","true","NULL"
"27","EE","true","NULL"
"28","FI","true","NULL"
"29","FR","true","NULL"
"30","DE","true","NULL"
"31","GR","true","NULL"
"32","GT","true","NULL"
"33","HN","true","NULL"
"34","HK","true","NULL"
"35","HU","true","NULL"
"36","IS","true","NULL"
"37","IN","true","NULL"
"38","ID","true","NULL"
"39","IQ","true","NULL"
"40","IE","true","NULL"
"41","IL","true","NULL"
"42","IT","true","NULL"
"43","JP","true","NULL"
"44","JO","true","NULL"
"45","KR","true","NULL"
"46","KW","true","NULL"
"47","LV","true","NULL"
"48","LB","true","NULL"
"49","LY","true","NULL"
"50","LT","true","NULL"
"51","LU","true","NULL"
"52","MK","true","NULL"
"53","MY","true","NULL"
"54","MT","true","NULL"
"55","MX","true","NULL"
"56","ME","true","NULL"
"57","MA","true","NULL"
"58","NL","true","NULL"
"59","NZ","true","NULL"
"60","NI","true","NULL"
"61","NO","true","NULL"
"62","OM","true","NULL"
"63","PA","true","NULL"
"64","PY","true","NULL"
"65","PE","true","NULL"
"66","PH","true","NULL"
"67","PL","true","NULL"
"68","PT","true","NULL"
"69","PR","true","NULL"
"70","QA","true","NULL"
"71","RO","true","NULL"
"72","RU","true","NULL"
"73","SA","true","NULL"
"74","RS","true","NULL"
"75","SG","true","NULL"
"76","SK","true","NULL"
"77","SI","true","NULL"
"78","ZA","true","NULL"
"79","ES","true","NULL"
"80","SD","true","NULL"
"81","SE","true","NULL"
"82","CH","true","NULL"
"83","SY","true","NULL"
"84","TW","true","NULL"
"85","TH","true","NULL"
"86","TN","true","NULL"
"87","TR","true","NULL"
"88","UA","true","NULL"
"89","AE","true","NULL"
"90","GB","true","NULL"
"91","US","true","NULL"
"92","UY","true","NULL"
"93","VE","true","NULL"
"94","VN","true","NULL"
"95","YE","true","NULL"
